Stations, Start, End 
"sumner place, south kensington",190,189
"phillimore gardens, kensington",195,200
"argyll road, kensington",111,120
"bethnal green road, shoreditch",366,339
"st. mary & st. michael church, stepney",40,47
"disraeli road, putney",92,92
"clapham common station, clapham common",339,346
"finsbury circus, liverpool street",416,515
"hoxton station, hoxton",198,209
"stephendale road, sands end",199,190
"nutford place, marylebone",137,143
"maplin street, mile end",355,341
"kennington road, vauxhall",169,182
"vauxhall walk, vauxhall",84,76
"union grove, wandsworth road",129,124
"southampton place, holborn",171,177
"stamford street, south bank",221,210
"broadwick street, soho",289,280
"wren street, holborn",200,248
"blackfriars road, southwark",186,191
"ontario street, elephant & castle",200,199
"christopher street, liverpool street",121,149
"hardwick street, clerkenwell",91,62
"fulham broadway, walham green",417,419
"imperial road, sands end",105,105
"westferry dlr, limehouse",172,177
"mile end park leisure centre, mile end",144,134
"embankment (savoy), strand",127,161
"ford road, old ford",165,158
"east village, queen elizabeth olympic park",148,152
"royal london hospital, whitechapel",487,495
"aylward street, stepney",126,105
"kennington lane rail bridge, vauxhall",408,367
"upper richmond road, putney",65,65
"falcon road, clapham junction",274,273
"notting hill gate station, notting hill",266,258
"grenfell road, avondale",82,86
"kennington cross, kennington",292,249
"somerset house, strand",219,229
"southwark station 2, southwark",286,304
"nevern place, earl's court",141,119
"northdown street, king's cross",110,104
"st mary's hospital, paddington",268,282
"grove end road, st. john's wood",140,133
"belvedere road 1, south bank",215,216
"braham street, aldgate",334,331
"moor street, soho",393,373
"walnut tree walk, vauxhall",143,134
"albert gardens, stepney",170,148
"euston square gardens, euston",175,178
"world's end place, west chelsea",171,160
"scala street, fitzrovia",164,185
"tysoe street, clerkenwell",219,217
"gloucester terrace, bayswater",116,97
"southwick street, paddington",233,207
"rainville road, hammersmith",102,108
"south parade, chelsea",114,117
"riverlight north, nine elms",214,214
"burdett road, mile end",208,189
"clifford street, mayfair",132,205
"stainsby road , poplar",119,132
"rochester row, westminster",144,150
"jubilee street, stepney",154,126
"star road, west kensington",137,110
"kennington oval, oval",133,142
"phene street, chelsea",147,151
"chelsea green, chelsea",145,143
"gloucester road station, south kensington",378,349
"bridge avenue, hammersmith",199,242
"foley street, fitzrovia",248,263
"saltoun road, brixton",117,127
"colet gardens, hammersmith",48,48
"sheepcote lane, battersea",108,94
"london fields, hackney central",311,330
"vereker road, west kensington",218,203
"bishop's avenue, fulham",110,141
"chepstow villas, notting hill",150,119
"chesilton road, fulham",161,153
"mudchute dlr, cubitt town",17,22
"pancras road, king's cross",123,135
"longford street, the regent's park",134,104
"eagle wharf road, hoxton",323,260
"teversham lane, stockwell",125,117
"park road (baker street), the regent's park",355,321
"st. john's wood road, st. john's wood",177,136
"burgess park albany road, walworth",199,211
"danvers street, west chelsea",109,105
"natural history museum, south kensington",261,304
"pont street, knightsbridge",238,209
"clapham south, clapham south",160,155
"hatton wall, holborn",264,249
"wellington row, bethnal green",159,162
"imperial wharf station, sands end",243,237
"peterborough road, sands end",59,53
"trebovir road, earl's court",181,175
"cartwright gardens , bloomsbury",200,182
"dickens square, borough",109,114
"smith square, westminster",189,217
"putney pier, wandsworth",128,147
"south kensington station, south kensington",308,315
"st. john's road, clapham junction",235,233
"ranelagh gardens, fulham",76,64
"woodstock street, mayfair",137,148
"derry street, kensington",391,390
"flamborough street, limehouse",263,232
"aston street, stepney",140,135
"brandon street, walworth",198,208
"strata, elephant & castle",368,362
"princedale road , holland park",86,92
"bourne street, belgravia",173,165
"stanley grove, battersea",106,107
"lancaster gate , bayswater",301,188
"queensway, kensington gardens",250,245
"ethelburga estate, battersea park",277,281
"frampton street, paddington",148,146
"brunswick square, bloomsbury",276,276
"cheapside, bank",442,396
"monument street, monument",245,295
"chelsea bridge, pimlico",107,110
"sea containers, south bank",189,193
"commercial street, shoreditch",142,156
"greenberry street, st.john's wood",81,43
"goswell road (city uni), finsbury",141,149
"st. martin's street, west end",166,163
"snow hill, farringdon",164,144
"queen street 2, bank",501,622
"mile end stadium, mile end",122,128
"bucknall street, covent garden",321,319
"pembridge villas, notting hill",119,126
"all saints church, portobello",249,232
"roscoe street, st. luke's",135,148
"westbourne park road, portobello",112,110
"london street, paddington",560,420
"lansdowne road, ladbroke grove",142,153
"south wharf road, paddington",164,183
"ansell house, stepney",213,216
"black prince road, vauxhall",149,162
"eaton square, belgravia",75,76
"goldsmith's row, haggerston",226,190
"old quebec street, marylebone",274,283
"lisson grove, st. john's wood",107,94
"queen street 1, bank",446,594
"cranmer road, stockwell",203,228
"royal college street, camden town",175,139
"finnis street, bethnal green",92,108
"christian street, whitechapel",226,171
"clarendon road, avondale",66,66
"halford road, west kensington",190,186
"marylebone lane, marylebone",231,239
"new inn yard, shoreditch",180,183
"porchester place, paddington",270,281
"horseferry road, westminster",213,192
"holy trinity brompton, knightsbridge",210,221
"campden hill road, notting hill",65,62
"rodney road , walworth",131,120
"tavistock place, bloomsbury",194,179
"william morris way, sands end",189,158
"great dover street, the borough",258,237
"green park station, mayfair",380,399
"st. george's square, pimlico",223,223
"bermondsey street, bermondsey",238,240
"graham street, angel",211,160
"finsbury leisure centre, st. luke's",291,281
"westminster university, marylebone",117,117
"claremont square, angel",154,133
"long lane , bermondsey",170,189
"doric way , somers town",243,231
"regency street, westminster",217,210
"snowsfields, london bridge",286,287
"greenland road, camden town",234,246
"waterloo station 2, waterloo",396,260
"wynne road, stockwell",77,83
"hartington road, stockwell",178,181
"rectory square, stepney",124,126
"portland place, marylebone",215,228
"rampayne street, pimlico",233,213
"reardon street, wapping",153,153
"bank of england museum, bank",206,235
"watney street, shadwell",194,163
"milroy walk, south bank",147,154
"pott street, bethnal green",178,180
"northington street , holborn",226,240
"cotton garden estate, kennington",122,145
"wellington road, st. john's wood",117,119
"calshot street , king's cross",129,117
"cantrell road, bow",51,51
"claverton street, pimlico",170,147
"queen's gate (south), south kensington",212,200
"kensington town hall, kensington",66,77
"blythe road west, shepherd's bush",111,93
"waterloo road, south bank",152,164
"harcourt terrace, west brompton",154,154
"clarkson street, bethnal green",131,112
"new globe walk, bankside",142,131
"grosvenor square, mayfair",191,204
"eastbourne mews, paddington",422,377
"ashmole estate, oval",112,111
"alfreda street, battersea park",122,108
"antill road, mile end",123,128
"stebondale street, cubitt town",34,45
"driffield road, old ford",121,124
"gloucester street, pimlico",214,172
"lower thames street, monument",111,114
"gwendwr road, west kensington",110,113
"furze green, bow",208,204
"gloucester road (north), kensington",204,194
"abbotsbury road, holland park",60,56
"kensington olympia station, olympia",118,117
"clements road, bermondsey",53,55
